12838KMLB MLB20241201093510312/01/24 09:35:31  5-MIN KMLB 011435Z 32012KT 10SM CLR 18/12 A3018 -200 67 100 330/12 RMK AO2 T01780117
12838KMLB MLB20241201094010312/01/24 09:40:31  5-MIN KMLB 011440Z 33013KT 10SM CLR 18/12 A3018 -200 65 200 340/13 RMK AO2 T01830117
12838KMLB MLB20241201094510312/01/24 09:45:31  5-MIN KMLB 011445Z 33013KT 10SM CLR 18/12 A3018 -200 65 200 340/13 RMK AO2 T01830117
12838KMLB MLB20241201095011612/01/24 09:50:31  5-MIN KMLB 011450Z 34011KT 10SM CLR 18/12 A3018 -200 65 200 340/11 RMK AO2 SLP219 T01830117 53007
12838KMLB MLB20241201095510312/01/24 09:55:31  5-MIN KMLB 011455Z 34011KT 10SM CLR 18/12 A3018 -200 65 200 350/11 RMK AO2 T01830117
12838KMLB MLB20241201100010312/01/24 10:00:31  5-MIN KMLB 011500Z 34011KT 10SM CLR 19/12 A3018 -200 65 200 340/11 RMK AO2 T01890122
12838KMLB MLB20241201100510312/01/24 10:05:31  5-MIN KMLB 011505Z 33012KT 10SM CLR 19/12 A3018 -200 62 200 340/12 RMK AO2 T01890117
12838KMLB MLB20241201101010912/01/24 10:10:31  5-MIN KMLB 011510Z 35014G21KT 10SM CLR 19/12 A3018 -200 65 200 350/14G21 RMK AO2 T01890122
12838KMLB MLB20241201101510312/01/24 10:15:31  5-MIN KMLB 011515Z 34015KT 10SM CLR 19/12 A3018 -200 62 200 340/15 RMK AO2 T01890117
12838KMLB MLB20241201102010312/01/24 10:20:31  5-MIN KMLB 011520Z 35013KT 10SM CLR 19/12 A3018 -200 62 200 350/13 RMK AO2 T01890117
12838KMLB MLB20241201102510312/01/24 10:25:31  5-MIN KMLB 011525Z 34012KT 10SM CLR 19/12 A3018 -200 62 200 340/12 RMK AO2 T01890117
12838KMLB MLB20241201103010312/01/24 10:30:31  5-MIN KMLB 011530Z 34011KT 10SM CLR 20/12 A3018 -200 60 400 350/11 RMK AO2 T02000122
12838KMLB MLB20241201103510312/01/24 10:35:31  5-MIN KMLB 011535Z 34014KT 10SM CLR 19/12 A3017 -190 62 300 340/14 RMK AO2 T01940122
12838KMLB MLB20241201104010312/01/24 10:40:31  5-MIN KMLB 011540Z 33014KT 10SM CLR 19/12 A3017 -190 60 300 340/14 RMK AO2 T01940117
12838KMLB MLB20241201104510312/01/24 10:45:31  5-MIN KMLB 011545Z 34013KT 10SM CLR 19/12 A3017 -190 60 300 340/13 RMK AO2 T01940117
12838KMLB MLB20241201105011012/01/24 10:50:31  5-MIN KMLB 011550Z 34015KT 10SM CLR 20/12 A3017 -190 58 400 340/15 RMK AO2 SLP216 T02000117
12838KMLB MLB20241201105510312/01/24 10:55:31  5-MIN KMLB 011555Z 33014KT 10SM CLR 20/11 A3018 -200 56 400 340/14 RMK AO2 T02000111
12838KMLB MLB20241201110010312/01/24 11:00:31  5-MIN KMLB 011600Z 34014KT 10SM CLR 20/11 A3017 -190 56 400 350/14 RMK AO2 T02000111
12838KMLB MLB20241201110510312/01/24 11:05:31  5-MIN KMLB 011605Z 33013KT 10SM CLR 20/11 A3017 -190 54 400 340/13 RMK AO2 T02000106
12838KMLB MLB20241201111010312/01/24 11:10:31  5-MIN KMLB 011610Z 33012KT 10SM CLR 20/11 A3017 -190 56 400 340/12 RMK AO2 T02000111
12838KMLB MLB20241201111510312/01/24 11:15:31  5-MIN KMLB 011615Z 33014KT 10SM CLR 21/11 A3017 -190 54 400 340/14 RMK AO2 T02060111
12838KMLB MLB20241201112010912/01/24 11:20:31  5-MIN KMLB 011620Z 33014G20KT 10SM CLR 20/11 A3017 -190 56 400 340/14G20 RMK AO2 T02000111
12838KMLB MLB20241201112510912/01/24 11:25:31  5-MIN KMLB 011625Z 33012G20KT 10SM CLR 20/11 A3017 -190 56 400 340/12G20 RMK AO2 T02000111
12838KMLB MLB20241201113010912/01/24 11:30:31  5-MIN KMLB 011630Z 35013G20KT 10SM CLR 20/11 A3016 -180 56 400 350/13G20 RMK AO2 T02000111
12838KMLB MLB20241201113510912/01/24 11:35:31  5-MIN KMLB 011635Z 34013G20KT 10SM CLR 20/11 A3016 -180 56 400 350/13G20 RMK AO2 T02000111
12838KMLB MLB20241201114010312/01/24 11:40:31  5-MIN KMLB 011640Z 35010KT 10SM CLR 20/11 A3016 -180 54 400 360/10 RMK AO2 T02000106
12838KMLB MLB20241201114510912/01/24 11:45:31  5-MIN KMLB 011645Z 33013G19KT 10SM CLR 20/11 A3016 -180 56 400 340/13G19 RMK AO2 T02000111
12838KMLB MLB20241201115011012/01/24 11:50:31  5-MIN KMLB 011650Z 34014KT 10SM CLR 20/11 A3016 -180 56 400 340/14 RMK AO2 SLP214 T02000111
12838KMLB MLB20241201115510312/01/24 11:55:31  5-MIN KMLB 011655Z 35015KT 10SM CLR 20/11 A3016 -180 54 400 360/15 RMK AO2 T02000106
12838KMLB MLB20241201120010912/01/24 12:00:31  5-MIN KMLB 011700Z 35013G21KT 10SM CLR 19/10 A3016 -180 54 300 350/13G21 RMK AO2 T01940100
12838KMLB MLB20241201120510912/01/24 12:05:31  5-MIN KMLB 011705Z 35012G21KT 10SM CLR 19/11 A3016 -180 56 300 360/12G21 RMK AO2 T01940106
12838KMLB MLB20241201121010312/01/24 12:10:31  5-MIN KMLB 011710Z 35013KT 10SM CLR 20/11 A3016 -180 54 400 360/13 RMK AO2 T02000106
12838KMLB MLB20241201121510312/01/24 12:15:31  5-MIN KMLB 011715Z 35011KT 10SM CLR 20/11 A3015 -170 54 400 350/11 RMK AO2 T02000106
12838KMLB MLB20241201122010312/01/24 12:20:31  5-MIN KMLB 011720Z 01011KT 10SM CLR 20/11 A3015 -170 54 400 010/11 RMK AO2 T02000106
12838KMLB MLB20241201122510912/01/24 12:25:31  5-MIN KMLB 011725Z 36014G20KT 10SM CLR 20/11 A3015 -170 56 400 010/14G20 RMK AO2 T02000111
12838KMLB MLB20241201123010912/01/24 12:30:31  5-MIN KMLB 011730Z 34013G20KT 10SM CLR 21/11 A3015 -170 52 500 340/13G20 RMK AO2 T02060106
12838KMLB MLB20241201123510312/01/24 12:35:31  5-MIN KMLB 011735Z 35014KT 10SM CLR 21/11 A3013 -160 52 500 360/14 RMK AO2 T02060106
12838KMLB MLB20241201124010912/01/24 12:40:31  5-MIN KMLB 011740Z 35013G20KT 10SM CLR 21/11 A3014 -160 52 500 360/13G20 RMK AO2 T02060106
12838KMLB MLB20241201124510312/01/24 12:45:31  5-MIN KMLB 011745Z 34014KT 10SM CLR 20/11 A3013 -150 56 400 350/14 RMK AO2 T02000111
12838KMLB MLB20241201125012812/01/24 12:50:31  5-MIN KMLB 011750Z 36012KT 10SM CLR 20/12 A3014 -160 58 400 360/12 RMK AO2 SLP204 T02000117 10206 20106 51013
12838KMLB MLB20241201125510312/01/24 12:55:31  5-MIN KMLB 011755Z 36014KT 10SM CLR 21/12 A3012 -150 56 500 360/14 RMK AO2 T02060117
12838KMLB MLB20241201130010312/01/24 13:00:31  5-MIN KMLB 011800Z 36014KT 10SM CLR 20/11 A3013 -160 56 400 010/14 RMK AO2 T02000111
12838KMLB MLB20241201130510312/01/24 13:05:31  5-MIN KMLB 011805Z 35013KT 10SM CLR 21/12 A3013 -150 56 500 350/13 RMK AO2 T02060117
12838KMLB MLB20241201131010312/01/24 13:10:31  5-MIN KMLB 011810Z 36011KT 10SM CLR 21/12 A3013 -160 56 500 360/11 RMK AO2 T02060117
12838KMLB MLB20241201131510912/01/24 13:15:31  5-MIN KMLB 011815Z 34013G19KT 10SM CLR 21/11 A3012 -140 54 500 340/13G19 RMK AO2 T02060111
12838KMLB MLB20241201132010312/01/24 13:20:31  5-MIN KMLB 011820Z 34011KT 10SM CLR 21/11 A3013 -150 54 500 340/11 RMK AO2 T02060111
12838KMLB MLB20241201132510312/01/24 13:25:31  5-MIN KMLB 011825Z 36013KT 10SM CLR 21/11 A3013 -150 54 500 360/13 RMK AO2 T02060111
12838KMLB MLB20241201133010912/01/24 13:30:31  5-MIN KMLB 011830Z 01014G20KT 10SM CLR 20/11 A3012 -150 56 400 010/14G20 RMK AO2 T02000111
12838KMLB MLB20241201133510312/01/24 13:35:31  5-MIN KMLB 011835Z 35013KT 10SM CLR 21/11 A3012 -140 54 500 350/13 RMK AO2 T02060111
12838KMLB MLB20241201134010312/01/24 13:40:31  5-MIN KMLB 011840Z 36012KT 10SM CLR 21/11 A3012 -150 54 500 010/12 RMK AO2 T02060111
12838KMLB MLB20241201134510312/01/24 13:45:31  5-MIN KMLB 011845Z 02015KT 10SM CLR 21/12 A3012 -140 56 500 020/15 RMK AO2 T02060117
12838KMLB MLB20241201135011012/01/24 13:50:31  5-MIN KMLB 011850Z 01015KT 10SM CLR 20/12 A3012 -140 58 400 010/15 RMK AO2 SLP199 T02000117
12838KMLB MLB20241201135510312/01/24 13:55:31  5-MIN KMLB 011855Z 36014KT 10SM CLR 20/12 A3013 -150 58 400 360/14 RMK AO2 T02000117
12838KMLB MLB20241201140010912/01/24 14:00:31  5-MIN KMLB 011900Z 01014G21KT 10SM CLR 20/11 A3012 -150 56 400 020/14G21 RMK AO2 T02000111
12838KMLB MLB20241201140510312/01/24 14:05:31  5-MIN KMLB 011905Z 01016KT 10SM CLR 20/11 A3012 -150 56 400 020/16 RMK AO2 T02000111
12838KMLB MLB20241201141010912/01/24 14:10:31  5-MIN KMLB 011910Z 35016G22KT 10SM CLR 19/11 A3012 -140 58 400 360/16G22 RMK AO2 T01940111
12838KMLB MLB20241201141510912/01/24 14:15:31  5-MIN KMLB 011915Z 36014G22KT 10SM CLR 19/11 A3012 -140 58 400 010/14G22 RMK AO2 T01940111
12838KMLB MLB20241201142010912/01/24 14:20:31  5-MIN KMLB 011920Z 35016G21KT 10SM CLR 19/11 A3012 -140 58 400 360/16G21 RMK AO2 T01940111
12838KMLB MLB20241201142510312/01/24 14:25:31  5-MIN KMLB 011925Z 01014KT 10SM CLR 19/11 A3012 -140 56 400 010/14 RMK AO2 T01940106
12838KMLB MLB20241201143010912/01/24 14:30:31  5-MIN KMLB 011930Z 01014G21KT 10SM CLR 19/11 A3012 -150 56 400 020/14G21 RMK AO2 T01940106
12838KMLB MLB20241201143510912/01/24 14:35:31  5-MIN KMLB 011935Z 01012G20KT 10SM CLR 19/11 A3012 -150 56 400 020/12G20 RMK AO2 T01940106
12838KMLB MLB20241201144010912/01/24 14:40:31  5-MIN KMLB 011940Z 36015G20KT 10SM CLR 19/11 A3011 -140 56 400 010/15G20 RMK AO2 T01940106
12838KMLB MLB20241201144510312/01/24 14:45:31  5-MIN KMLB 011945Z 36013KT 10SM CLR 19/11 A3012 -150 56 400 360/13 RMK AO2 T01940106
12838KMLB MLB20241201145011512/01/24 14:50:31  5-MIN KMLB 011950Z AUTO 02015KT 10SM CLR 20/11 A3012 -150 54 400 030/15 RMK AO2 SLP200 T02000106
12838KMLB MLB20241201145510812/01/24 14:55:31  5-MIN KMLB 011955Z AUTO 36015KT 10SM CLR 19/10 A3012 -140 54 400 360/15 RMK AO2 T01940100
12838KMLB MLB20241201150010312/01/24 15:00:31  5-MIN KMLB 012000Z 01014KT 10SM CLR 19/09 A3013 -150 52 400 010/14 RMK AO2 T01940094
12838KMLB MLB20241201150510312/01/24 15:05:31  5-MIN KMLB 012005Z 01014KT 10SM CLR 19/09 A3012 -150 52 400 020/14 RMK AO2 T01940094
12838KMLB MLB20241201151010312/01/24 15:10:31  5-MIN KMLB 012010Z 01016KT 10SM CLR 19/09 A3012 -150 52 300 010/16 RMK AO2 T01890089
12838KMLB MLB20241201151510312/01/24 15:15:31  5-MIN KMLB 012015Z 36014KT 10SM CLR 19/08 A3012 -140 48 400 010/14 RMK AO2 T01940083
12838KMLB MLB20241201152010312/01/24 15:20:31  5-MIN KMLB 012020Z 02013KT 10SM CLR 19/08 A3013 -150 48 400 020/13 RMK AO2 T01940083
12838KMLB MLB20241201152510912/01/24 15:25:31  5-MIN KMLB 012025Z 01016G22KT 10SM CLR 19/08 A3012 -150 50 300 010/16G22 RMK AO2 T01890083
12838KMLB MLB20241201153010912/01/24 15:30:31  5-MIN KMLB 012030Z 01015G22KT 10SM CLR 19/08 A3013 -150 48 300 020/15G22 RMK AO2 T01890078
12838KMLB MLB20241201153510912/01/24 15:35:31  5-MIN KMLB 012035Z 01017G22KT 10SM CLR 18/07 A3013 -150 48 200 010/17G22 RMK AO2 T01830072
12838KMLB MLB20241201154010312/01/24 15:40:31  5-MIN KMLB 012040Z 01017KT 10SM CLR 18/08 A3012 -150 50 200 010/17 RMK AO2 T01830078
12838KMLB MLB20241201154510912/01/24 15:45:31  5-MIN KMLB 012045Z 36013G21KT 10SM CLR 18/08 A3013 -150 50 200 010/13G21 RMK AO2 T01830078
12838KMLB MLB20241201155012212/01/24 15:50:31  5-MIN KMLB 012050Z 36016G21KT 10SM CLR 18/08 A3012 -140 50 200 010/16G21 RMK AO2 SLP198 T01830078 58017
12838KMLB MLB20241201155510912/01/24 15:55:31  5-MIN KMLB 012055Z 36013G21KT 10SM CLR 18/08 A3012 -150 50 200 010/13G21 RMK AO2 T01830078
12838KMLB MLB20241201160010912/01/24 16:00:31  5-MIN KMLB 012100Z 36013G21KT 10SM CLR 18/08 A3012 -150 50 200 360/13G21 RMK AO2 T01830078
12838KMLB MLB20241201160510912/01/24 16:05:31  5-MIN KMLB 012105Z 01015G21KT 10SM CLR 18/07 A3012 -150 48 200 010/15G21 RMK AO2 T01830072
